id,code,title,domain,criticality,weight,description,evidence_expected,references_frameworks
CTL_CONTAINER_01,CONTAINER_01,Run containers as non-root + least privilege,container_security,High,5,Containers run under a non-root user; no privileged mode; drop unnecessary Linux capabilities; set read-only FS where feasible.,Dockerfile USER; runtime config (compose/k8s); capability drop; securityContext (if k8s); rationale for any exception.,FW_ISO27001:Technological controls (secure configuration / least privilege); FW_NIS2:Cybersecurity risk-management measures; FW_ASVS:Secure configuration / deployment guidance
CTL_CONTAINER_02,CONTAINER_02,"Use minimal, pinned base images (no 'latest')",supply_chain,High,5,Base images are minimal (slim/distroless where possible) and pinned by version/digest; 'latest' tag is forbidden.,Dockerfile FROM pinned; policy doc; CI rule that rejects latest/unpinned; inventory of approved bases.,FW_NIS2:Supply-chain security; FW_DORA:ICT risk management (supply chain / secure configuration); FW_ISO27001:Supplier relationships / secure configuration
CTL_CONTAINER_03,CONTAINER_03,Container vulnerability scanning in CI (gate),vuln_mgmt,High,5,Every build triggers container image scanning; pipeline fails on High/Critical vulnerabilities unless explicitly risk-accepted.,CI logs + scan reports (Trivy/Grype/Snyk); policy thresholds; risk-acceptance workflow + expiry.,FW_DORA:ICT risk management + vulnerability management; FW_NIS2:Risk-management measures; FW_ISO27001:Vulnerability management / technical monitoring
CTL_CONTAINER_04,CONTAINER_04,SBOM generation + dependency scanning,supply_chain,Medium,3,Generate SBOM per build and scan application dependencies (pip/npm/etc.) in addition to image scanning.,SBOM artifact (CycloneDX/SPDX); dependency scan report; remediation PRs; release evidence.,FW_NIS2:Supply-chain security; FW_DORA:ICT risk management; FW_ISO27001:Change management / secure development
CTL_CONTAINER_05,CONTAINER_05,Runtime container security monitoring,monitoring,High,5,"Detect and alert on suspicious runtime activity (unexpected shell, privilege escalation, anomalous syscalls/network).",Runtime tool config (Falco/Sysdig/Aqua etc.); alert rules; sample alerts; runbook + response actions.,FW_DORA:ICT risk management (detect/respond); FW_NIS2:Incident handling + monitoring; FW_GDPR32:Security of processing (integrity/confidentiality)
CTL_API_01,API_01,Authentication defined and enforced (OIDC/JWT/mTLS),api_security,High,5,"API authentication mechanism is defined, enforced on all protected endpoints, and documented (tokens, TTL, refresh, signing).",Architecture doc; gateway/app config; token claims model; sample requests; tests for auth-required endpoints.,FW_ASVS:V2 Authentication; FW_ISO27001:Access control; FW_GDPR32:Confidentiality
CTL_API_02,API_02,Authorization (RBAC/ABAC) + least privilege,iam,High,5,Authorization model is defined (roles/permissions); access is least-privilege; admin actions are isolated.,Permissions matrix; enforcement points; tests; admin route protection; periodic access review process.,FW_ASVS:V4 Access Control; FW_ISO27001:Access control / privilege management; FW_NIS2:Risk-management measures
CTL_API_03,API_03,API key lifecycle management,api_security,High,5,"API keys are issued per client, stored/handled as secrets, rotated, revoked, and audited; no hardcoding.",Key issuance/rotation/revocation procedure; secrets manager usage; audit logs of key usage; emergency revoke playbook.,FW_ISO27001:Cryptographic controls / key management; FW_NIS2:Risk-management measures; FW_ASVS:Credential storage and handling
CTL_API_04,API_04,Rate limiting + abuse protection,api_security,High,5,"Rate limiting is enforced (per IP, per API key/client, burst + sustained), returning proper 429 and logging abuse events.",Gateway/WAF config; limits table; tests; dashboards showing throttling; exception handling for trusted internal calls.,FW_ASVS:V11 Business Logic / V13 API and Web Services; FW_NIS2:Risk-management measures; FW_DORA:Operational resilience
CTL_API_05,API_05,Input validation (schema-first),api_security,High,5,All inputs are validated via explicit schemas; type/length constraints; reject unknown fields; safe parsing for files.,OpenAPI/JSON Schema/Pydantic models; validation tests; negative test suite; file upload constraints.,"FW_ASVS:V5 Validation, Sanitization and Encoding; FW_ISO27001:Secure development; FW_GDPR32:Integrity"
CTL_API_06,API_06,Transport security (TLS) + secure headers,api_security,High,5,TLS enforced end-to-end; strong ciphers; HSTS where appropriate; secure headers for web components.,TLS config; cert rotation process; security headers list; external scan results (optional).,FW_GDPR32:Confidentiality; FW_ISO27001:Network security / cryptography; FW_ASVS:V9 Communications
CTL_API_07,API_07,API security testing (automated + manual),sdlc,Medium,3,"Security tests cover authz bypass, injection, rate limit bypass, and common OWASP API Top 10 patterns.",Security test plan; automated tests in CI; manual verification checklist; findings + remediation links.,FW_ASVS:Verification process; FW_DORA:Operational resilience testing; FW_ISO27001:Secure development lifecycle
CTL_LOG_01,LOG_01,"Security event logging enabled (auth, admin, key use, config changes)",logging_forensics,High,5,"Log authentication attempts, token/key usage, admin actions, permission changes, and config changes with correlation IDs.",Log taxonomy; sample log lines; correlation ID propagation; access controls for logs; masking rules.,FW_GDPR32:Ability to ensure ongoing confidentiality/integrity; FW_NIS2:Incident handling + monitoring; FW_ISO27001:Logging and monitoring
CTL_LOG_02,LOG_02,Centralized log collection + retention policy,logging_forensics,High,5,"Logs are centralized (ELK/Loki/Splunk/etc.), time-synchronized, protected from tampering, and retained per policy.",Log pipeline diagram; retention settings; access control; backup of logs; time sync configuration (NTP).,FW_DORA:ICT risk management (monitoring and auditability); FW_NIS2:Risk-management measures; FW_GDPR32:Security of processing
CTL_LOG_03,LOG_03,Forensic readiness: export logs on request + analysis notes,logging_forensics,Medium,3,Ability to export logs (filtered by time/tenant/request) and provide relevant analysis notes for forensics.,Export procedure; access workflow; redaction rules; sample exported bundle; analyst note template.,FW_DORA:Incident management and reporting; FW_NIS2:Incident reporting and handling; FW_ISO27001:Incident management / evidence handling
CTL_LOG_04,LOG_04,Sensitive data masking in logs,logging_forensics,High,5,"Logs must not store secrets, tokens, passwords, full PAN/PII; use masking/hashing where needed; access is controlled.",Masking rules; unit tests; example log output; access control list; periodic review.,FW_GDPR32:Confidentiality; FW_ISO27001:Information classification / access control
CTL_MON_01,MON_01,Security monitoring dashboards + alerting,monitoring,High,5,"Dashboards and alerts exist for auth failures, spikes, throttling, error rates, runtime alerts, and key security KPIs.",Grafana/dashboard links; alert rules; on-call routing; runbooks; sample alert history.,FW_DORA:ICT risk management (detect/respond); FW_NIS2:Risk-management measures; FW_ISO27001:Monitoring activities
CTL_MON_02,MON_02,WAF / gateway protections (as applicable),monitoring,Medium,3,Gateway/WAF rules applied for common attacks and abuse patterns; protections are tested and tuned.,WAF config; rule sets; test evidence; exception list; change log.,FW_NIS2:Risk-management measures; FW_ASVS:V13 API and Web Services
CTL_VULN_01,VULN_01,Patch management policy + cadence,vuln_mgmt,High,5,Defined cadence for OS/base image/dependency patching; emergency patch process for critical CVEs.,Patch policy; schedule; evidence of applied updates; exception approvals with expiry.,FW_NIS2:Risk-management measures; FW_DORA:ICT risk management; FW_ISO27001:Change management / secure configuration
CTL_VULN_02,VULN_02,Vulnerability triage + risk acceptance workflow,vuln_mgmt,Medium,3,"Process to triage findings, assign owners, set SLAs, track remediation, and time-bound risk acceptance with review.",Triage procedure; SLA matrix; sample tickets; risk acceptance record template.,FW_ISO27001:Risk treatment; FW_DORA:ICT risk management
CTL_IAM_01,IAM_01,MFA for admin access and privileged operations,iam,High,5,MFA required for admin consoles and privileged actions; break-glass procedures defined.,IdP policy; screenshots/config export; break-glass runbook; audit logs showing enforcement.,FW_NIS2:Risk-management measures; FW_ISO27001:Access control; FW_ASVS:V2 Authentication
CTL_IAM_02,IAM_02,Access reviews and least privilege (periodic),iam,Medium,3,Periodic review of roles/permissions; remove stale access; document approvals.,Review cadence; access review records; offboarding checklist; role catalog.,FW_ISO27001:Access control / identity lifecycle; FW_DORA:ICT governance
CTL_INC_01,INC_01,Incident response runbooks + severity classification,incident_mgmt,High,5,"Defined severity levels, runbooks, comms plan, and responsibilities; includes security incidents and outages.",IR policy; runbooks; comms templates; postmortem template; drill records.,FW_DORA:ICT incident management and reporting; FW_NIS2:Incident reporting/handling; FW_ISO27001:Incident management
CTL_INC_02,INC_02,Incident reporting readiness (evidence and timelines),incident_mgmt,Medium,3,"Ability to produce incident reports with required details, timelines, impacted services/tenants, and corrective actions.",Incident report template; evidence checklist; sample completed report; mapping to internal ticket/postmortem.,FW_DORA:Reporting requirements; FW_NIS2:Reporting requirements
CTL_RES_01,RES_01,Backups + restore tests,resilience,High,5,"Backups are automated, encrypted, and restore tests are performed regularly with documented results.",Backup configuration; schedule; restore test reports; RPO/RTO targets; encrypted storage proof.,FW_GDPR32:Restore availability and access; FW_DORA:Operational resilience; FW_ISO27001:Backup / continuity
CTL_RES_02,RES_02,Disaster recovery plan + drills (as applicable),resilience,Medium,3,DR plan exists with defined RTO/RPO; drills validate procedures and identify gaps.,DR plan; drill schedule; results; remediation actions; architecture diagram showing failure domains.,FW_DORA:Resilience testing and continuity; FW_NIS2:Business continuity and crisis management; FW_ISO27001:Continuity planning
CTL_SDLC_01,SDLC_01,Secure SDLC policy + code review + CI gates,sdlc,High,5,"Secure development policy exists; mandatory code review; CI gates for tests, scans, and quality checks.",SSDLC policy doc; PR review rules; CI pipeline config; sample PR with approvals and passing gates.,FW_ISO27001:Secure development; FW_NIS2:Risk-management measures; FW_DORA:ICT governance
CTL_SDLC_02,SDLC_02,Security testing cadence (SAST/DAST as feasible),sdlc,Medium,3,Static and/or dynamic testing is performed regularly; findings are tracked to closure.,Tool outputs; schedules; issue tracker links; remediation evidence.,FW_ASVS:Verification approach; FW_ISO27001:Testing and evaluation
CTL_SDLC_03,SDLC_03,Third-party risk: inventory + contract/security requirements,supply_chain,Medium,3,"Maintain inventory of third parties (hosting, libraries, providers) and define security expectations and review cadence.",Vendor inventory; risk ratings; contract clauses list; review records; exception process.,FW_DORA:ICT third-party risk management; FW_NIS2:Supply-chain security; FW_ISO27001:Supplier relationships
CTL_DATA_01,DATA_01,Encryption at rest for sensitive data (as applicable),iam,Medium,3,Sensitive data at rest is encrypted (DB disk encryption and/or column-level where needed); keys are managed securely.,DB/storage encryption settings; key management notes; evidence of key rotation (if applicable).,FW_GDPR32:Encryption/pseudonymisation (where appropriate); FW_ISO27001:Cryptography
CTL_DATA_02,DATA_02,Secrets management (no secrets in code/images),supply_chain,High,5,Secrets are stored in a secrets manager or secure env/OS store; never committed to repo or baked into images.,Secrets manager config; secret scanning in CI; rotation procedure; sample evidence of removed secret from history (if occurred).,FW_ISO27001:Access control / cryptography; FW_NIS2:Risk-management measures
